COURSE_ID,START_TIME,END_TIME,COURSE_NAME,DAYS,SEMESTER,INSTRUCTOR,CAPACITY
PHY301,12:00,14:50,Darkmatters,Wednesday,Fall 2016,Stephen Tesla,27
PLS101,11:00,12:20,What is Love,"Wednesday, Friday",Fall 2016,Vladimir Plato,25
PLS201,12:00,13:20,What is Life,"Wednesday, Friday",Fall 2016,John Confucius,25
PLS301,13:00,14:20,What Makes Us Human Human,"Wednesday, Friday",Fall 2016,Leo Kant,26
PSY101,14:00,16:50,Human Motive,Thursday,Fall 2016,Ed Bundy,28
PSY201,13:00,15:50,Mastermind,Thursday,Fall 2016,Jack Manson,29
PSY301,15:00,17:50,Telepathy,Thursday,Fall 2016,Richard Gein,30
ACC110,8:00,9:30,Checkbooks,"Tuesday, Thursday",Spring 2017,Emily Doe,25
ACC210,10:00,11:30,Bank Accounts,"Tuesday, Thursday",Spring 2017,Scarlett Luigini,25
ACC310,12:00,13:30,Bankcrupsy,"Tuesday, Thursday",Spring 2017,Josephine Vuu,15
ART210,11:00,14:00,Sculpting Stickman,Monday,Spring 2017,Van Pablo,20
ART232,11:00,14:00,Photography of Stickman II,Wednesday,Spring 2017,Monet Gogh,15
ART390,18:00,20:30,Special Topics in Stickman,Wednesday,Spring 2017,Monet Gogh,3
BIO110,8:00,9:30,Photosynthesis,"Monday, Wednesday",Spring 2017,Mendel Pasteur,25
BIO210,10:00,11:30,Microbiology,"Monday, Wednesday",Spring 2017,Louis Darwin,22
BIO310,12:00,13:30,Deoxyribonucleic acid,"Monday, Wednesday",Spring 2017,Gregor Carson,20
CHE110,14:00,15:30,Dihydrogen monoxide,"Monday, Wednesday",Spring 2017,Marie Piere,25
CHE210,16:00,17:30,Sodium bicarbonate,"Monday, Wednesday",Spring 2017,Dalton Curie,22
CHE310,18:00,19:30,Biochemistry,"Monday, Wednesday",Spring 2017,Mendel Pasteur,20
COM110,11:00,13:50,Small Groups,Monday,Spring 2017,Kennedy Thomas,25
COM210,11:00,13:50,Presentations,Wednesday,Spring 2017,Barrack Quincy,25
COM310,11:00,13:50,Social Media,Friday,Spring 2017,John King,25
CS110,17:30,20:30,Objects,Monday,Spring 2017,Bill Zuckerberg,25
CS210,17:30,21:00,Data Structures,Wednesday,Spring 2017,Steve Gate,25
CS310,17:30,21:30,Applications,Friday,Spring 2017,Mark Job,20
ECO110,14:00,15:30,Small Business,"Tuesday, Thursday",Spring 2017,Karl Smith,25
ECO210,16:00,17:30,Corporation,"Tuesday, Thursday",Spring 2017,Adam Max,25
ECO310,18:00,19:30,World Domination,"Tuesday, Thursday",Spring 2017,Mark Nash,15
ENG390,18:00,20:30,Creative writing III:  Novels,Thursday,Spring 2017,William Austen,7
ENG165,9:30,11:00,Creative writing I: One Sentence,"Tuesday, Thursday",Spring 2017,Jane Fitzgerald ,25
ENG232,14:30,16:00,Creative writing II: Short Stories,"Monday, Friday",Spring 2017,Scott Shakespeare,15
FRN110,14:00,15:20,Quoi de neuf?,Wednesday,Spring 2017,Joan Descartes,26
FRN210,16:00,17:20,Qui etes vous?,Monday,Spring 2017,Louis Robespierre,20
FRN390,18:00,20:30,Sujets speciaux,Monday,Spring 2017,Joan Descartes,2
HIS110,11:00,12:20,History of Stickman,Monday,Spring 2017,Anna Racki,25
HIS232,14:30,16:00,Contemporary Stickman,Wednesday,Spring 2017,Anna Racki,15
HIS390,18:00,20:30,Special Topics post Caveman,Wednesday,Spring 2017,Alexis Xenophon,7
MSC210,11:00,14:00,Trebble Clef,Tuesday,Spring 2017,Ludwig Brahms,20
MSC232,11:00,14:00,Instruments II,Thursday,Spring 2017,Maurice Vivaldi,15
MSC390,18:00,20:30,Special Topics in Music,Friday,Spring 2017,Maurice Vivaldi,2
MTH110,8:00,9:30,Multiplication,"Monday, Wednesday",Spring 2017,Carl Boolean,25
MTH210,8:00,9:30,Theorums,"Tuesday, Thursday",Spring 2017,Ada Gauss,20
MTH310,20:00,21:30,Calculating the Universe,"Tuesday, Thursday",Spring 2017,Omar Pascal,15
PHY110,10:00,12:30,Momentum,"Tuesday, Thursday",Spring 2017,Nikola Einstein,25
PHY210,13:00,15:00,Gravity,"Tuesday, Thursday",Spring 2017,Albert Hawking,20
PHY310,15:30,18:00,Lightspeed,"Tuesday, Thursday",Spring 2017,Stephen Tesla,15
PLS110,18:00,20:00,Ethics,"Monday, Wednesday",Spring 2017,Vladimir Plato,15
PLS210,18:00,20:00,Religion,"Monday, Wednesday",Spring 2017,John Confucius,15
PLS310,18:00,20:00,Existential Crisis,"Monday, Wednesday",Spring 2017,Leo Kant,15
PSY110,12:00,13:20,Childhood,"Monday, Wednesday",Spring 2017,Ed Bundy,20
PSY210,13:30,14:50,Adulthood,"Monday, Wednesday",Spring 2017,Jack Manson,20
PSY310,15:00,16:20,Self Diagnosis,"Monday, Wednesday",Spring 2017,Richard Gein,20
